0,Element,R,G,B,L,C,H
1,H,255,255,255,100,0,267
2,He,217,255,255,97,13,199
3,Li,204,128,255,66,73,315
4,Be,194,255,0,93,101,117
5,B,255,181,181,81,29,22
6,C,144,144,144,60,0,150
7,N,48,80,248,43,99,299
8,O,255,13,13,54,102,39
9,F,144,224,80,82,77,128
10,Ne,179,227,245,88,18,230
11,Na,171,92,242,55,86,313
12,Mg,138,255,0,90,108,127
13,Al,191,166,166,70,10,20
14,Si,240,200,160,83,27,71
15,P,255,128,0,67,86,60
16,S,255,255,48,97,91,103
17,Cl,31,240,31,83,111,137
18,Ar,128,209,227,79,26,220
19,K,143,64,212,45,86,313
20,Ca,61,255,0,88,117,134
21,Sc,230,230,230,91,0,337
22,Ti,191,194,199,78,3,268
23,V,166,166,171,68,3,290
24,Cr,138,153,199,64,26,282
25,Mn,156,122,199,57,45,309
26,Fe,224,102,51,58,67,48
27,Co,240,144,160,70,39,11
28,Ni,80,208,80,74,79,139
29,Cu,200,128,51,60,56,67
30,Zn,125,128,176,55,28,291
31,Ga,194,143,143,64,21,21
32,Ge,102,143,143,57,15,198
33,As,189,128,227,63,58,315
34,Se,255,161,0,74,83,72
35,Br,166,41,41,38,59,32
36,Kr,92,184,209,70,29,226
